State,Year,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine
MO,2021,"7,459","4,918","3,109",22,"2,931","14,397","1,628",872,173,19,511,15,34,627,"4,928","5,117","3,170",22,"2,842","11,026","2,971",0,866,180,118,5,97,469
MS,2019,"2,401","3,490","1,495",56,137,"5,208",83,33,804,264,231,18,51,972,"5,145","7,304","3,996",234,335,"5,872","1,211",0,"8,402",3,163,32,257,"1,221"
MS,2020,"2,355","2,997","1,084",56,197,"4,593",62,66,879,113,245,60,54,547,"4,246","6,407","3,381",180,468,"5,675","1,131",0,"7,020",3,212,20,210,575
MS,2021,"3,138","3,457","1,237",54,152,"5,432",130,259,969,121,458,35,52,558,"4,424","6,728","3,561",117,335,"5,983","1,221",13,"6,887",80,252,25,118,452
MT,2019,"2,876","3,500",343,33,528,"5,750",509,205,84,108,174,1,35,474,"2,210","3,612","1,458",123,446,"4,347","3,031",0,161,121,26,3,75,170
MT,2020,"2,540","2,993",366,29,453,"5,271",467,179,43,137,106,5,24,293,"1,774","2,827",974,65,421,"3,204","2,490",0,125,27,10,2,50,133
MT,2021,"2,835","2,921",398,29,"1,041","5,487",454,97,66,616,90,6,35,249,"1,909","2,705","1,037",147,990,"3,404","2,676",0,168,195,19,1,50,202
NC,2019,"13,311","28,055","5,927",347,"4,336","26,910","1,147",725,"7,825","1,764","1,686",121,322,"12,783","15,126","20,825","11,692",812,"4,532","24,879","8,520",1,"12,034",108,323,33,786,"6,308"
NC,2020,"10,575","21,432","4,895",207,"3,827","24,936",823,703,"6,509","1,133",917,77,230,"6,479","9,687","15,789","10,559",631,"3,910","20,872","6,474",1,"8,942",4,234,29,589,"3,659"
NC,2021,"11,913","24,269","5,856",332,"2,919","26,788",981,600,"5,451","1,155","1,335",58,242,"7,702","11,197","16,344","10,852",729,"3,545","21,920","6,864",16,"6,984",10,263,30,697,"4,075"
ND,2019,456,"1,544",651,0,307,"2,645",110,3,97,19,55,1,0,65,683,677,186,19,246,"1,365",352,0,96,12,7,0,1,28
ND,2020,460,"1,340",411,0,404,"2,441",159,12,8,1,87,0,0,40,620,554,333,13,249,"1,366",315,0,18,1,14,0,1,14
ND,2021,397,"1,390",585,0,277,"2,309",224,2,9,17,68,1,0,51,511,562,441,4,294,"1,548",315,0,32,0,7,1,2,16
NE,2019,"2,203","3,549",231,1,333,"3,772",355,4,151,0,189,6,0,"1,855","1,174","2,347",587,1,331,"2,387","1,719",0,30,0,26,1,0,319
NE,2020,"1,649","2,675",522,0,352,"3,623",273,0,125,0,126,4,1,"1,048",965,"2,091",830,1,304,"2,501","1,472",0,95,0,29,1,0,264
NE,2021,"1,565","2,291",640,1,197,"3,589",242,42,57,0,125,2,1,635,"1,105","2,155",647,4,304,"2,160","1,668",4,62,0,35,3,1,215
NH,2019,"2,309","1,063","1,013",36,93,"3,999",187,12,59,35,52,0,22,162,936,677,"1,417",41,158,"2,291",620,0,126,7,21,0,35,109
NH,2020,"1,359",651,"1,237",19,122,"3,087",112,3,27,4,30,0,22,87,406,460,"1,134",28,101,"1,563",443,0,42,0,12,1,29,70
NH,2021,"1,378",813,"1,106",20,243,"3,153",143,5,66,4,57,0,18,117,387,329,963,25,257,"1,369",422,0,43,7,4,0,25,74
NJ,2019,"2,547","4,850","2,168",17,620,"7,068",393,200,"1,193",4,440,2,13,661,"1,225","1,379","6,961",34,297,"5,577",907,2,"3,074",2,32,1,26,265
NJ,2020,"2,440","5,671","2,614",11,303,"8,301",600,294,508,13,605,4,18,328,"1,014","1,046","6,833",16,211,"5,436",679,0,"2,849",1,27,2,23,111
NJ,2021,"2,250","5,452","2,283",3,386,"7,635",279,299,676,0,471,2,2,370,991,"1,212","5,154",21,345,"4,654",837,1,"2,094",0,27,0,3,173
NM,2019,"4,172","6,100","1,096",231,"4,557","5,769",329,"1,458","3,444","1,043",627,23,139,"3,953","6,285","9,901",712,418,"5,294","6,953","4,412",3,"7,743","1,062",263,43,337,"2,975"
NM,2020,"2,641","4,994",887,161,"3,308","5,293",267,896,"2,662",652,302,43,113,"2,215","4,944","7,771",353,528,"3,395","5,952","2,953",0,"6,244",319,170,63,291,"1,277"
NM,2021,"2,318","7,480","1,103",112,"2,074","5,001",393,"1,512","2,116",607,478,33,106,"1,501","4,160","10,349",950,368,"2,233","5,515","3,259",11,"5,715",235,242,37,418,"1,715"
NV,2019,"2,558","7,853","1,568",570,"1,165","8,165",388,"1,696","1,073",16,299,13,565,"1,280","3,744","11,850","1,401","2,162","2,808","10,479","5,141",0,"2,509",30,108,12,"2,162","1,723"
NV,2020,"1,852","6,343","1,336",584,945,"7,733",316,999,598,26,303,7,580,825,"1,974","7,576","1,129","2,256","1,865","6,523","3,624",0,"1,502",13,71,7,"2,255","1,057"
NV,2021,"2,037","7,176","1,245",419,"1,384","6,715",318,"1,088",744,6,399,15,418,984,"2,312","8,808",971,"1,571","2,277","5,636","4,055",0,"1,606",7,97,45,"1,568","1,234"
NY,2019,"11,552","14,028","5,079",828,"1,958","27,231",772,447,"1,043",189,779,38,819,"2,188","4,719","4,324","9,626","1,205","1,300","15,606","2,262",53,693,51,153,11,"1,177","1,099"
